City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
171,ueda,36.4,138.2667,21.11,92,95,1.13,JP,1690918232
172,jamestown,42.097,-79.2353,23.9,47,20,4.12,US,1690918233
173,crane,31.3974,-102.3501,37.01,26,37,5.9,US,1690918233
174,amga,60.8953,131.9608,9.48,98,99,1.88,RU,1690918233
175,kataysk,56.289,62.5841,16.94,80,24,2.93,RU,1690918233
176,katy,29.7858,-95.8244,39.5,44,8,1.79,US,1690917987
177,mar del plata,-38.0023,-57.5575,24.01,38,0,6.17,AR,1690918234
178,aleg,17.0481,-13.9209,35.45,38,76,4.42,MR,1690918234
179,cardenas,23.0375,-81.2047,33.42,57,3,5.19,CU,1690918234
180,taoudenni,22.6783,-3.9836,42.87,6,6,5.47,ML,1690918234
181,cabo san lucas,22.8909,-109.9124,36.45,65,20,1.03,MX,1690917629
182,lebu,-37.6167,-73.65,12.57,72,62,2.12,CL,1690918235
183,durban,-29.8579,31.0292,14.51,65,54,1.86,ZA,1690917711
184,invercargill,-46.4,168.35,5.57,75,73,7.6,NZ,1690918235
185,nogliki,51.8333,143.1667,12.82,97,100,7.53,RU,1690918235
186,hadibu,12.65,54.0333,26.37,77,58,7.56,YE,1690918235
187,broome,42.2506,-75.833,24.83,48,75,4.63,US,1690918236
188,east ballina,-28.8667,153.5833,12.67,72,53,4.79,AU,1690918236
189,villa de soto,-30.8552,-64.9995,31.89,29,0,7.6,AR,1690918236
190,kristiansund,63.1115,7.732,17.03,88,75,2.06,NO,1690918236
191,kailua-kona,19.6406,-155.9956,28.49,73,40,3.09,US,1690918224
192,narasannapeta,18.4167,84.05,25.76,89,100,3.26,IN,1690918236
193,fredrikstad,59.2181,10.9298,18.28,80,0,1.03,NO,1690918237
194,lihue,21.9789,-159.3672,27.77,68,0,7.72,US,1690918012
195,ust-nera,64.5667,143.2,10.7,79,63,2.04,RU,1690918237
196,daru,-9.0763,143.2092,25.04,76,93,6.15,PG,1690918237
197,murghob,38.1702,73.9667,13.42,47,24,1.29,TJ,1690918237
198,lazaro cardenas,17.9583,-102.2,29.93,72,100,0.81,MX,1690918238
199,starokostiantyniv,49.7576,27.2034,19.04,73,18,2.57,UA,1690918238
200,villa dolores,-31.9459,-65.1896,29.25,28,2,3.82,AR,1690918238
201,faya-largeau,17.9257,19.1043,36.19,24,0,5.4,TD,1690918238
202,san antonio de pale,-1.4014,5.6325,22.75,76,100,6.26,GQ,1690918238
203,camarinas,43.1311,-9.1817,21.07,91,5,5.64,ES,1690918238
204,hammerfest,70.6634,23.6821,15.25,82,75,2.06,NO,1690918239
205,el jadid,33.2549,-8.506,21.78,80,4,5.59,MA,1690918239
206,punta arenas,-53.15,-70.9167,2.84,74,63,6.03,CL,1690918239
207,brokopondo,4.75,-55.1667,30.29,61,45,2.38,SR,1690918239
208,chonchi,-42.6128,-73.8092,8.56,77,98,4.68,CL,1690918239
209,uturoa,-16.7333,-151.4333,26.44,72,90,7.39,PF,1690918239
210,san jose del guaviare,2.5729,-72.6459,26.47,82,61,2.31,CO,1690918239
211,neiafu,-18.65,-173.9833,20.38,94,100,4.63,TO,1690918240
212,chul'man,56.8479,124.9104,5.91,91,0,1.32,RU,1690918240
213,umm kaddadah,13.6017,26.6876,30.55,48,61,9.52,SD,1690918240
214,papatowai,-46.5619,169.4708,5.13,70,87,10.93,NZ,1690918240
215,pangkalanbuun,-2.6833,111.6167,24.18,97,100,1.38,ID,1690918240
216,xanthi,41.1414,24.8836,27.12,66,9,0.74,GR,1690918240
217,guna,24.65,77.3167,24.74,87,68,5.77,IN,1690918240
218,keflavik,64.0049,-22.5624,13.24,71,20,2.06,IS,1690918241
219,kingston,17.997,-76.7936,33.47,66,20,10.8,JM,1690918221
220,safford,32.834,-109.7076,35.62,30,0,2.57,US,1690918241
221,richards bay,-28.783,32.0377,15.19,76,19,1.37,ZA,1690917871
222,thinadhoo,0.5333,72.9333,27.58,76,22,2.9,MV,1690918241
223,ebon,4.582,168.6964,27.6,74,89,0.14,MH,1690918241
224,isla vista,34.4133,-119.861,32.22,64,0,4.12,US,1690918242
225,st. john's,47.5649,-52.7093,20.87,78,75,4.63,CA,1690918068
226,sarangani,5.4033,125.4636,28.06,78,20,3.48,PH,1690918242
227,vilhena,-12.7406,-60.1458,34.12,26,20,2.06,BR,1690918132
228,namdrik,5.5994,168.1028,27.54,76,90,2.38,MH,1690918242
229,viedma,-40.8135,-62.9967,18.46,23,50,7.89,AR,1690918242
230,imperatriz,-5.5264,-47.4917,36.03,32,40,2.06,BR,1690918242
231,tidjikja,18.5564,-11.4271,35.36,29,12,6.52,MR,1690918243
232,wewak,-3.5534,143.6268,26.43,84,83,3.22,PG,1690918243
233,mahina,-17.5065,-149.489,26.87,65,20,1.54,PF,1690918243
234,danshui,22.7984,114.4672,26.32,87,94,0.79,CN,1690918243
235,minas de marcona,-15.2119,-75.1103,19.1,59,7,3.64,PE,1690918243
236,manali,13.1667,80.2667,32.82,61,100,4.79,IN,1690918243
237,corpus christi,27.8006,-97.3964,38.42,62,20,5.66,US,1690918044
238,vredendal,-31.6683,18.5012,12.79,41,6,4.12,ZA,1690918244
239,whitehorse,60.7161,-135.0538,18.78,67,20,1.03,CA,1690918244
240,maqat,47.65,53.3167,30.15,25,0,3.76,KZ,1690918244
241,bonthe,7.5264,-12.505,24.55,90,100,4.62,SL,1690918244
242,tejen,37.3834,60.5054,34.35,18,0,5.93,TM,1690918245
243,jayapura,-2.5333,140.7,25.66,89,76,3.05,ID,1690918245
244,mitu,1.1983,-70.1733,26.94,89,80,0.55,CO,1690918245
245,chinchilla,-26.75,150.6333,12.16,88,0,4.08,AU,1690918246
246,fisterra,42.9049,-9.2629,20.97,91,3,3.83,ES,1690918246
247,lompoc,34.6391,-120.4579,29.45,84,75,3.09,US,1690918246
248,pekanbaru,0.5333,101.45,25.18,88,75,1.03,ID,1690918246
249,east wenatchee bench,47.4257,-120.2812,29.3,24,0,1.34,US,1690918247
250,tatarsk,55.219,75.9828,17.4,82,41,1.09,RU,1690918247
251,olonkinbyen,70.9221,-8.7187,6.96,87,62,2.64,SJ,1690918247
252,vadso,70.0744,29.7487,13.49,94,40,2.57,NO,1690918247
253,ojinaga,29.5667,-104.4167,38.65,34,0,4.12,MX,1690918248
254,ushibukamachi,32.1906,130.0228,26.94,79,0,4.22,JP,1690918248
255,aljezur,37.3191,-8.8033,20.23,92,2,6.84,PT,1690918248
256,al ghayzah,16.2079,52.176,25.44,90,50,4.74,YE,1690918248
